종류	메뉴명	사원명	결제수량	총결제금액	결제일	
중식	자장면	강해준	3	15000	2022-09-26 05:36:04	
중식	잡채밥	강해준	2	11000	2022-09-26 05:36:43	
중식	잡채밥	강해준	3	16500	2022-09-26 05:37:18	
한식	매콤육개장	강해준	3	12000	2022-09-26 05:38:00	
한식	갈비탕	강해준	3	18000	2022-09-26 05:38:18	
한식	돌솥비빔밥	강해준	3	13500	2022-09-26 05:38:31	
한식	설렁탕	강해준	3	15000	2022-09-26 05:38:56	
한식	갈비탕	강해준	3	18000	2022-09-26 05:39:13	
한식	매콤육개장	강해준	3	12000	2022-09-26 05:39:39	
중식	마파두부	강해준	3	15000	2022-09-26 05:46:48	
중식	짬뽕밥	강해준	3	16500	2022-09-26 05:47:03	
한식	즉석떡볶이	강해준	3	9000	2022-09-26 05:47:18	
중식	짬뽕밥	강해준	3	16500	2022-09-26 05:47:52	
중식	잡채밥	강해준	3	16500	2022-09-26 05:48:20	
중식	짬뽕밥	강해준	3	16500	2022-09-26 05:49:12	
중식	마파두부	강해준	2	10000	2022-09-26 05:49:12	
중식	잡채밥	강해준	3	16500	2022-09-26 05:49:28	
중식	마파두부	강해준	2	10000	2022-09-26 05:49:28	
중식	짬뽕밥	강해준	3	16500	2022-09-26 05:51:29	
중식	마파두부	강해준	3	15000	2022-09-26 05:51:29	
중식	잡채밥	강해준	3	16500	2022-09-26 05:51:43	
중식	마파두부	강해준	3	15000	2022-09-26 05:51:43	
중식	짬뽕밥	강해준	3	16500	2022-09-26 05:52:17	
중식	마파두부	강해준	3	15000	2022-09-26 05:52:17	
중식	짬뽕밥	강해준	3	16500	2022-09-26 05:52:55	
중식	마파두부	강해준	3	15000	2022-09-26 05:52:55	
중식	짬뽕밥	강해준	3	16500	2022-09-26 05:53:15	
중식	마파두부	강해준	3	15000	2022-09-26 05:53:15	
중식	짬뽕밥	강해준	3	16500	2022-09-26 05:53:39	
중식	팔보채	강해준	2	11000	2022-09-26 05:53:39	
중식	라조육	강해준	3	21000	2022-09-26 05:54:27	
중식	새우튀김	강해준	2	9000	2022-09-26 05:54:27	
중식	짬뽕밥	강해준	3	16500	2022-09-26 05:55:36	
중식	양장피	강해준	3	19500	2022-09-26 05:55:36	
중식	잡채밥	강해준	3	16500	2022-09-26 05:56:14	
중식	마파두부	강해준	3	15000	2022-09-26 05:56:14	
중식	짬뽕밥	강해준	3	16500	2022-09-26 05:56:34	
중식	마파두부	강해준	2	10000	2022-09-26 05:56:34	
중식	팔보채	강해준	3	16500	2022-09-26 05:56:54	
중식	라조육	강해준	3	21000	2022-09-26 05:56:54	
중식	짬뽕밥	강해준	3	16500	2022-09-26 05:57:18	
중식	양장피	강해준	3	19500	2022-09-26 05:57:18	
중식	잡채밥	강해준	3	16500	2022-09-26 05:57:37	
중식	마파두부	강해준	3	15000	2022-09-26 05:57:37	
중식	잡채밥	강해준	3	16500	2022-09-26 05:58:05	
중식	해물볶음밥	강해준	3	21000	2022-09-26 05:58:05	
한식	설렁탕	강해준	2	10000	2022-09-26 05:59:00	
한식	김치	강해준	3	3000	2022-09-26 05:59:00	
중식	짬뽕밥	강해준	2	11000	2022-09-26 05:59:44	
중식	자장면	강해준	3	15000	2022-09-26 06:00:02	
중식	해물볶음밥	강해준	3	21000	2022-09-26 06:00:02	
중식	양장피	강해준	2	13000	2022-09-26 06:00:29	
중식	마파두부	강해준	3	15000	2022-09-26 06:00:29	
중식	팔보채	강해준	2	11000	2022-09-26 06:01:03	
중식	고추잡채	강해준	3	13500	2022-09-26 06:01:03	
한식	설렁탕	강해준	2	10000	2022-09-26 06:01:23	
한식	김치	강해준	3	3000	2022-09-26 06:01:23	
중식	북경오리	강해준	2	14000	2022-09-26 06:01:37	
중식	새우튀김	강해준	3	13500	2022-09-26 06:01:37	
양식	치킨까스	강해준	2	12000	2022-09-26 06:02:01	
양식	치즈스파게티	강해준	3	27000	2022-09-26 06:02:01	
중식	쟁반짬뽕	강해준	2	10000	2022-09-26 06:02:23	
중식	해물볶음밥	강해준	3	21000	2022-09-26 06:02:23	
중식	해물볶음밥	강해준	3	21000	2022-09-26 06:02:54	
중식	팔보채	강해준	2	11000	2022-09-26 06:02:54	
중식	해물볶음밥	강해준	3	21000	2022-09-26 06:03:13	
중식	팔보채	강해준	3	16500	2022-09-26 06:03:13	
일식	새우튀김정식	강해준	2	12000	2022-09-26 06:03:43	
일식	삼치구이정식	강해준	3	16500	2022-09-26 06:03:43	
중식	짬뽕밥	강해준	3	16500	2022-09-26 06:04:32	
중식	고추잡채	강해준	2	9000	2022-09-26 06:04:32	
중식	팔보채	강해준	2	11000	2022-09-26 06:05:21	
중식	고추잡채	강해준	4	18000	2022-09-26 06:05:21	
중식	해물볶음밥	강해준	2	14000	2022-09-26 06:07:34	
중식	팔보채	강해준	1	5500	2022-09-26 06:07:34	
한식	잡채	강해준	2	9000	2022-09-26 06:07:53	
한식	김치찌개	강해준	3	15000	2022-09-26 06:07:53	
중식	팔보채	강해준	1	5500	2022-09-26 06:08:26	
중식	라조육	강해준	3	21000	2022-09-26 06:08:26	
중식	짬뽕밥	강해준	2	11000	2022-09-26 06:10:56	
중식	팔보채	강해준	3	16500	2022-09-26 06:10:56	
중식	짬뽕밥	강해준	2	11000	2022-09-26 06:13:29	
중식	해물볶음밥	강해준	3	21000	2022-09-26 06:13:29	
중식	자장면	강해준	2	10000	2022-09-26 06:14:11	
중식	고추잡채	강해준	2	9000	2022-09-26 06:14:11	
한식	열무김치	강해준	2	2000	2022-09-26 06:14:41	
양식	간장치킨	강해준	2	16000	2022-09-26 06:15:06	
양식	치즈스파게티	강해준	3	27000	2022-09-26 06:15:06	
중식	새우튀김	강해준	2	9000	2022-09-26 06:19:12	
중식	라조육	강해준	3	21000	2022-09-26 06:19:12	
양식	등심스테이크	강해준	2	18000	2022-09-26 06:21:49	
양식	까르보나라	강해준	3	30000	2022-09-26 06:21:49	
중식	팔보채	강해준	3	16500	2022-09-26 06:24:39	
중식	라조육	강해준	3	21000	2022-09-26 06:24:39	
중식	쟁반짬뽕	강해준	2	10000	2022-09-26 06:25:22	
중식	해물볶음밥	강해준	3	21000	2022-09-26 06:25:22	
중식	짬뽕밥	강해준	3	16500	2022-09-26 06:26:40	
중식	팔보채	강해준	3	16500	2022-09-26 06:26:40	
중식	잡채밥	강해준	3	16500	2022-09-26 06:27:23	
중식	해물볶음밥	강해준	2	14000	2022-09-26 06:27:23	
중식	자장면	강해준	2	10000	2022-09-26 06:31:59	
중식	해물볶음밥	강해준	3	21000	2022-09-26 06:31:59	
중식	새우튀김	강해준	2	9000	2022-09-26 06:33:43	
중식	라조육	강해준	2	14000	2022-09-26 06:33:43	
중식	새우튀김	강해준	2	9000	2022-09-26 06:34:22	
중식	팔보채	강해준	2	11000	2022-09-26 06:34:22	
중식	잡채밥	강해준	2	11000	2022-09-26 06:37:20	
중식	팔보채	강해준	3	16500	2022-09-26 06:37:20	
중식	짬뽕밥	강해준	2	11000	2022-09-26 06:43:23	
중식	해물볶음밥	강해준	3	21000	2022-09-26 06:43:23	
중식	잡채밥	강해준	2	11000	2022-09-26 06:56:15	
중식	해물볶음밥	강해준	2	14000	2022-09-26 06:56:15	
중식	쟁반짬뽕	강해준	2	10000	2022-09-26 06:57:31	
중식	짬뽕밥	강해준	1	5500	2022-09-26 06:57:44	
중식	팔보채	강해준	1	5500	2022-09-26 06:59:02	
중식	자장면	강해준	1	5000	2022-09-26 06:59:37	
중식	짬뽕밥	강해준	2	11000	2022-09-26 07:00:04	
중식	쟁반짬뽕	강해준	1	5000	2022-09-26 07:00:14	
